1	0.000		#  SP1	Jan-2000
2	0.822			
3	0.957			
4	0.125			
5	0.777			
6	0.200			
1	0.000		#  SP2	Feb-2000
2	0.822			
3	0.845			
4	0.125			
5	0.783			
6	0.400			
1	0.221		#  SP3	Mar-2000
2	0.860			
3	0.000			
4	0.125			
5	0.835			
6	0.600			
1	0.485		#  SP4	Apr-2000
2	0.908			
3	0.000			
4	0.125			
5	0.887			
6	0.700			
1	0.846		#  SP5	May-2000
2	0.940			
3	0.000			
4	0.125			
5	0.924			
6	0.800			
1	0.914		#  SP6	Jun-2000
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.900			
1	0.000		#  SP7	Jul-2000
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.900			
1	0.000		#  SP8	Aug-2000
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.700			
1	0.000		#  SP9	Sep-2000
2	0.950			
3	0.661			
4	0.125			
5	0.927			
6	0.500			
1	0.000		#  SP10	Oct-2000
2	0.945			
3	0.894			
4	0.125			
5	0.927			
6	0.300			
1	0.000		#  SP11	Nov-2000
2	0.000			
3	0.954			
4	0.125			
5	0.927			
6	0.200			
1	0.000		#  SP12	Dec-2000
2	0.000			
3	0.957			
4	0.125			
5	0.926			
6	0.200			
1	0.000		#  SP13	Jan-2001
2	0.822			
3	0.957			
4	0.125			
5	0.777			
6	0.200			
1	0.000		#  SP14	Feb-2001
2	0.822			
3	0.845			
4	0.125			
5	0.783			
6	0.400			
1	0.221		#  SP15	Mar-2001
2	0.860			
3	0.000			
4	0.125			
5	0.835			
6	0.600			
1	0.485		#  SP16	Apr-2001
2	0.908			
3	0.000			
4	0.125			
5	0.887			
6	0.700			
1	0.846		#  SP17	May-2001
2	0.940			
3	0.000			
4	0.125			
5	0.924			
6	0.800			
1	0.914		#  SP18	Jun-2001
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.900			
1	0.000		#  SP19	Jul-2001
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.900			
1	0.000		#  SP20	Aug-2001
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.700			
1	0.000		#  SP21	Sep-2001
2	0.950			
3	0.661			
4	0.125			
5	0.927			
6	0.500			
1	0.000		#  SP22	Oct-2001
2	0.945			
3	0.894			
4	0.125			
5	0.927			
6	0.300			
1	0.000		#  SP23	Nov-2001
2	0.000			
3	0.954			
4	0.125			
5	0.927			
6	0.200			
1	0.000		#  SP24	Dec-2001
2	0.000			
3	0.957			
4	0.125			
5	0.926			
6	0.200			
1	0.000		#  SP25	Jan-2002
2	0.822			
3	0.957			
4	0.125			
5	0.777			
6	0.200			
1	0.000		#  SP26	Feb-2002
2	0.822			
3	0.845			
4	0.125			
5	0.783			
6	0.400			
1	0.221		#  SP27	Mar-2002
2	0.860			
3	0.000			
4	0.125			
5	0.835			
6	0.600			
1	0.485		#  SP28	Apr-2002
2	0.908			
3	0.000			
4	0.125			
5	0.887			
6	0.700			
1	0.846		#  SP29	May-2002
2	0.940			
3	0.000			
4	0.125			
5	0.924			
6	0.800			
1	0.914		#  SP30	Jun-2002
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.900			
1	0.000		#  SP31	Jul-2002
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.900			
1	0.000		#  SP32	Aug-2002
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.700			
1	0.000		#  SP33	Sep-2002
2	0.950			
3	0.661			
4	0.125			
5	0.927			
6	0.500			
1	0.000		#  SP34	Oct-2002
2	0.945			
3	0.894			
4	0.125			
5	0.927			
6	0.300			
1	0.000		#  SP35	Nov-2002
2	0.000			
3	0.954			
4	0.125			
5	0.927			
6	0.200			
1	0.000		#  SP36	Dec-2002
2	0.000			
3	0.957			
4	0.125			
5	0.926			
6	0.200			
1	0.000		#  SP37	Jan-2003
2	0.822			
3	0.957			
4	0.125			
5	0.777			
6	0.200			
1	0.000		#  SP38	Feb-2003
2	0.822			
3	0.845			
4	0.125			
5	0.783			
6	0.400			
1	0.221		#  SP39	Mar-2003
2	0.860			
3	0.000			
4	0.125			
5	0.835			
6	0.600			
1	0.485		#  SP40	Apr-2003
2	0.908			
3	0.000			
4	0.125			
5	0.887			
6	0.700			
1	0.846		#  SP41	May-2003
2	0.940			
3	0.000			
4	0.125			
5	0.924			
6	0.800			
1	0.914		#  SP42	Jun-2003
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.900			
1	0.000		#  SP43	Jul-2003
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.900			
1	0.000		#  SP44	Aug-2003
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.700			
1	0.000		#  SP45	Sep-2003
2	0.950			
3	0.661			
4	0.125			
5	0.927			
6	0.500			
1	0.000		#  SP46	Oct-2003
2	0.945			
3	0.894			
4	0.125			
5	0.927			
6	0.300			
1	0.000		#  SP47	Nov-2003
2	0.000			
3	0.954			
4	0.125			
5	0.927			
6	0.200			
1	0.000		#  SP48	Dec-2003
2	0.000			
3	0.957			
4	0.125			
5	0.926			
6	0.200			
1	0.000		#  SP49	Jan-2004
2	0.822			
3	0.957			
4	0.125			
5	0.777			
6	0.200			
1	0.000		#  SP50	Feb-2004
2	0.822			
3	0.845			
4	0.125			
5	0.783			
6	0.400			
1	0.221		#  SP51	Mar-2004
2	0.860			
3	0.000			
4	0.125			
5	0.835			
6	0.600			
1	0.485		#  SP52	Apr-2004
2	0.908			
3	0.000			
4	0.125			
5	0.887			
6	0.700			
1	0.846		#  SP53	May-2004
2	0.940			
3	0.000			
4	0.125			
5	0.924			
6	0.800			
1	0.914		#  SP54	Jun-2004
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.900			
1	0.000		#  SP55	Jul-2004
2	0.950			
3	0.000			
4	0.125			
5	0.927			
6	0.900			
